カットNo.	時間(秒)	画面（ビジュアル）	内容・動き	セリフ	SE/BGM	撮影内容	挿入イメージ
11	6	商品の特徴を説明するテロップと、韓国と日本の国旗をモチーフにしたCGアニメーション。	あやかさんがジェスチャーを交えて説明する。	これまでのピーリングみたいに、無理やり剥がしたり、痛みやダウンタイムを我慢したり…そんな時代は、もう終わり！これは、美容大国・韓国の最新技術「ララピール（LHA）」と、日本の「ハーブピーリング」を融合させた、まったく新しい”Wピーリング”なの。	軽快でリズミカルなBGM。	あやかさんの横に説明テロップやイメージCGを配置する構成。	テロップ「日本初！Wピーリング処方」、韓国と日本の国旗が融合するイメージCG。
12	6	リアルな緑色のペーストのアップ。肌の断面図イラスト（角質が溶けていくアニメーション）。	ペーストを指ですくう。	見て、このリアルな緑色のペースト。23種類の天然ハーブが、まず凝り固まった肌を優しくほぐしてくれて…そこに、低刺激なLHA成分が、”角質のフタ”だけを狙って、じわ〜っと溶かしてくれるの。	うっとりするようなBGM。ジュワーっと溶けるような効果音。	ペーストのテクスチャがよくわかる接写。	23種類のハーブのイメージ映像。角質が溶けていく様子のCGアニメーション。
13	5	あやかさんが実際に商品を肌に塗り、心地よさそうな表情を浮かべる。	目を閉じてハーブの香りを楽しむ。	このハーブの香りが、もう最高のご褒美…。	リラックスできるヒーリング系のBGM。	あやかさんが商品を顔に塗布するシーン。幸せそうな表情を捉える。	なし
14	4	「週に1回」「たった5分」というテロップ。カレンダーがめくれるようなアニメーション。	時計の針が動くアニメーション。	週に1回、たった5分のこの時間が、私の肌と心をリセットしてくれる、最高の”儀式”になってる。	カレンダーがめくれる音、時計のチクタク音。	なし（編集で対応）	テロップ「週に1回」「たった5分」、カレンダーや時計のアニメーション。
15	6	洗い流した後の、ツルツルになった肌のアップ。「むきタマゴ」のイメージ映像。	自分の肌を嬉しそうに触る。	洗い流した後の肌、大げさじゃなくて、本当に「むきタマゴ」みたいになるの！自分の肌じゃないみたいに、フワッ、ツルンッ！って。	キラキラした効果音。肌が水を弾く音。	洗い上がりの肌の質感が伝わるように、ライティングにこだわって撮影。	つるんとした「むきタマゴ」の実写映像またはCG。
16	5	化粧水が肌にぐんぐん浸透していくイメージCG。	驚きと喜びが混じった表情。	そして、この後の化粧水の浸透力！もう、笑っちゃうくらいゴクゴク肌が飲み干していくのがわかるから！	ゴクゴクと水を飲むような効果音。	あやかさんのリアクションを撮影。	化粧水がスポンジに吸い込まれるようなイメージCG。
17	3	自信に満ちた笑顔のあやかさん。	カメラに向かって微笑む。	「そんなの、あなたの感想でしょ？」って思う？うん、でもね、これはもう私だけの感想じゃないの。	BGMが一旦止まる。	視聴者に語りかけるような間を作る。	なし
18	6	専門機関の研究データを示すグラフや数値のテロップ。	グラフが伸びるアニメーション。	専門機関のデータだと、毛穴の黒ずみが23%、キメの細かさは60%も向上したっていう、ちゃんとした結果が出てる。	説得力のある、知的な雰囲気のBGM。	なし（編集で対応）	「毛穴の黒ずみ-23%」「キメの細かさ+60%」といった具体的な数値データを示すインフォグラフィック。
19	6	人気サロン「WHITE AQUA」の店舗外観や内装の写真。韓国のクリニックのイメージ写真。	写真がスライドショーのように切り替わる。	それに、もともとこれ、全国63店舗を展開する人気サロン「WHITE AQUA」が開発した、プロ用の処方。韓国の名門クリニックでも使われてるくらい、効果と安全性は”ガチ”なの。	BGMが続く。	なし（編集で対応）	「WHITE AQUA」のロゴ、店舗写真。「韓国の名門クリニックでも採用」というテロップとイメージ写真。
20	4	「初回販売分 36時間で即完売」というテロップが大きく表示される。	テロップが勢いよく表示されるアニメーション。	だから、初回販売分が36時間で即完売したのも、納得だよね。	盛り上がるBGM。カウントダウンのような効果音。	なし（編集で対応）	「36時間で完売」を強調するテロップデザイン。
21	3	再びあやかさん。特別なオファーを切り出す真剣な表情。	少し声を潜め、視聴者にだけ話すような雰囲気。	このスキンケアの新常識、あなたにも絶対に体験してほしい。今回、この動画を見てくれた人だけに、特別なご案内があります！	BGMが期待感を煽るものに変化。ドラムロールなど。	あやかさんのバストアップ。	なし
22	6	価格オファーのテロップが大きく表示される。「通常価格」に取り消し線が入り、「44%OFF」が強調される。	指で商品を指し示す。	通常価格5,390円のところ…なんと44%OFFの、税込み2,980円！	ファンファーレのような華やかな効果音。BGMも明るくキャッチーなものに。	なし（編集で対応）	価格情報をまとめたテロップ。「通常価格5,390円 → **44%OFF 2,980円（税込）** 送料無料」
23	5	「1回あたり約373円」というテロップと、エステのイメージ映像との比較。	驚いた表情であやかさんが頷く。	1回あたり約373円で、エステ級の根本ケアができるチャンス、見逃せる？	コインがチャリンと鳴るような効果音。	あやかさんのリアクションをワイプで挿入するなども可。	「1回あたり約373円」のテロップ。高級エステのイメージ写真。
24	6	「30日間全額返金保証」「定期縛りナシ」のアイコンやテロップ。	安心感を伝える、優しい微笑み。	もちろん、もし満足できなかった時のための「30日間全額返金保証」や、いつでも解約OKな「定期縛りナシ」のお約束もついてる。もう、あなたが試さない理由はないはず。	安心感を与えるような優しいBGM。	あやかさんの表情をアップで撮影。	「30日間全額返金保証」「定期縛りナシ」のアイコン・テロップ。
25	5	最後のメッセージを伝える、力強い表情のあやかさん。「角質のフタ」のイラストが再度表示される。	人差し指を立てて、重要なポイントを伝えるジェスチャー。	いい？もう一度言うね。あなたの毛穴悩み、表面をゴシゴシしても、一生解決しない。原因は、肌の奥の”角質のフタ”。	BGMがシリアスで重要な雰囲気に。ドン！という強調音。	あやかさんの目力を活かした撮影。	「原因は肌の奥の”角質のフタ”」というテロップと、以前使ったイラスト。
26	7	購入ボタンを模したテロップが画面下部に表示される。「在庫残りわずか」といった焦りを煽る文言も追加。	視聴者の背中を押すように、力強く頷く。	この事実に気づいた人から、もう始めてるよ。在庫がなくなって、また「あの時、始めておけば…」って後悔する前に、今すぐ下のボタンから、新しいスキンケアの世界へ飛び込んできて！	BGMがクライマックスに向けて盛り上がる。カチッというクリック音。	あやかさんのアップと、画面下部の購入ボタンテロップを両立させる構図。	「後悔する前に…」という手書き風テロップ。「今すぐ下のボタンから！」と矢印付きの購入ボタンCG。
27	4	最高の笑顔を見せるあやかさん。商品を持ってポーズ。	視聴者に手を振るような動き。	次は、あなたの肌で、この感動を味わう番だよ！	BGMが最高潮に達し、華やかに終わる。	あやかさんの最高の笑顔を撮影。商品がきれいに見える角度で。	ブランドロゴのアニメーション。「INSITU HerbLaPeel」
